NodeNo,g50_250,g50_500,g50_1000,g50_2000,g50_4000,g50_6000,g80_250,g80_500,g80_1000,g80_2000,g80_4000,g80_6000,g65_250,g65_500,g65_1000,g65_2000,g65_4000,g65_6000,CR_250,CR_500,CR_1000,CR_2000,CR_4000,CR_6000,kneelow_250,kneelow_500,kneelow_1000,kneelow_2000,kneelow_4000,kneelow_6000,mpoband_250,mpoband_500,mpoband_1000,mpoband_2000,mpoband_4000,mpoband_6000,audiogram_500,audiogram_1000,audiogram_2000,audiogram_3000,audiogram_4000,audiogram_6000,audiogram_8000,cal_g65_250,cal_g65_500,cal_g65_1000,cal_g65_2000,cal_g65_4000,cal_g65_6000,cal_CR_250,cal_CR_500,cal_CR_1000,cal_CR_2000,cal_CR_4000,cal_CR_6000,cal_kneelow_250,cal_kneelow_250,cal_kneelow_1000,cal_kneelow_2000,cal_kneelow_4000,cal_kneelow_6000
13,0.51971,1.55176,5.8016,5.20751,12.4264,12.649,0,0,0,0,0,0,0,0,3.09357,0,4.42298,5.96078,1.01763,1.05455,1.23975,1.21004,1.7071,1.72901,52,52,52,52,52,52,84.5403,89.8518,90.7874,95.1479,100.992,109.507,16.4588,15.1247,19.3416,30.7727,41.1088,55.6895,67.2904,8,5,4.09357,4,10.42298,12.96078,1.01763,1.05455,1.39223925,1.40727652,2.116804,1.556109,20,25,30,30,35,40
14,8.18174,9.87251,18.2932,21.655,24.9176,24.7667,0,0,0,0.636087,5.34699,8.01104,0.0975272,0.94517,8.47297,11.3292,15.588,16.6872,1.375,1.4905,2.56262,3.34034,2.87648,2.26512,52,52,52,52,52,52,90.8254,96.7654,99.8699,107.001,113.353,120.133,41.5991,45.9126,61.3105,68.7754,74.9064,83.4399,88.3307,8.0975272,5.94517,9.47297,15.3292,21.588,23.6872,1.375,1.4905,2.87782226,3.88481542,3.5668352,2.038608,20,25,30,30,35,40
15,3.1398,3.62787,9.84699,10.0727,18.7053,18.6196,0,0,0,0,1.53665,4.50321,0,0,5.41174,3.15529,9.80373,11.0519,1.11689,1.13756,1.48861,1.50548,2.33803,1.88874,52,52,52,52,52,52,85.193,90.5697,91.955,97.5638,105.04,119.907,19.0695,19.0826,28.2896,45.7143,57.9751,76.3172,87.8834,8,5,6.41174,7.15529,15.80373,18.0519,1.11689,1.13756,1.67170903,1.75087324,2.8991572,1.699866,20,25,30,30,35,40
16,0,0,0,7.10543E-15,0.907276,0.244371,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.03119,1.00821,52,52,52,52,52,52,83.1184,88.2877,88.7515,92.2333,93.8057,94.5333,10.771,8.22342,8.5471,9.73754,11.1668,15.4382,14.1987,8,5,1,4,6,7,1,1,1.123,1.163,1.2786756,0.907389,20,25,30,30,35,40
17,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.9538,87.0066,87.0901,90.5745,91.6848,92.2639,6.11248,2.59132,2.40332,1.67381,2.32994,7.30905,4.7429,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
18,0,0,0,0.40566,2.47646,1.77025,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.01371,1.08998,1.06271,52,52,52,52,52,52,83.4926,88.6993,89.3539,92.8629,94.5996,95.1309,12.2678,10.2652,10.8786,12.7098,14.4749,17.4934,16.6887,8,5,1,4,6,7,1,1,1.123,1.17894473,1.3515752,0.956439,20,25,30,30,35,40
19,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.9978,88.155,88.4333,92.0635,93.1658,92.5017,10.2885,7.14448,7.91799,7.45684,8.50068,8.40186,5.73376,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
20,0.121384,0.46964,3.4744,4.94739,7.72729,7.36899,0,0,0,0,0,0,0,0,0.77263,0,1.06484,1.59844,1.00406,1.0159,1.13098,1.19748,1.34694,1.32561,52,52,52,52,52,52,84.5488,89.8612,90.9721,94.8215,97.2545,97.6727,16.4929,15.7509,18.1328,22.3507,25.537,27.2928,27.2794,8,5,1.77263,4,7.06484,8.59844,1.00406,1.0159,1.27009054,1.39266924,1.6702056,1.193049,20,25,30,30,35,40
21,0,0,0,7.10543E-15,2.36416,2.25426,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.08555,1.08125,52,52,52,52,52,52,83.1354,88.3064,88.5149,91.8031,94.1986,96.9552,10.8391,7.42109,6.95343,9.05312,12.8041,24.7671,24.2898,8,5,1,4,6,7,1,1,1.123,1.163,1.346082,0.973125,20,25,30,30,35,40
22,2.61427,2.63266,5.91736,6.7796,7.93243,8.13679,0,0,0,0,0,0,0,0,2.68254,0.527256,1.14603,1.95187,1.09546,1.0962,1.24571,1.29197,1.35946,1.37217,52,52,52,52,52,52,85.6012,91.0188,92.1693,95.6832,96.8472,98.1626,20.7023,19.8092,21.3244,22.7634,23.8397,28.1985,29.3206,8,5,3.68254,4.527256,7.14603,8.95187,1.09546,1.0962,1.39893233,1.50256111,1.6857304,1.234953,20,25,30,30,35,40
